Ticker,Name,MarketCapitalization,NumberEmployees
NYSE:AEM,Agnico Eagle Mines Limited (NYSE:AEM),15892.5,5990
TSX:AC,Air Canada (TSX:AC),11338.6,32600
TSX:AGI,Alamos Gold Inc. (TSX:AGI),3151.9,1700
TSX:AQN,Algonquin Power & Utilities Corp. (TSX:AQN),8000,2277
TSX:ATD.B,Alimentation Couche-Tard Inc. (TSX:ATD.B),47281.4,133000
TSX:AP.UN,Allied Properties Real Estate Investment Trust (TSX:AP.UN),5621.8,263
TSX:ALA,AltaGas Ltd. (TSX:ALA),5512,2881
TSX:ACO.X,ATCO Ltd. (TSX:ACO.X),5042.8,6241
TSX:ACB,Aurora Cannabis Inc. (TSX:ACB),8958.5,967
TSX:BTO,B2Gold Corp. (TSX:BTO),4105.6,3168
TSX:BMO,Bank of Montreal (TSX:BMO),63889.1,45454
TSX:ABX,Barrick Gold Corporation (TSX:ABX),37685.1,17500
NYSE:BHC,Bausch Health Companies Inc. (NYSE:BHC),10834.5,21100
TSX:BCE,BCE Inc. (TSX:BCE),54280.8,52790
TSX:BB,BlackBerry Limited (TSX:BB),5139.5,3945
TSX:BBD.B,Bombardier Inc. (TSX:BBD.B),5233.7,56920
TSX:BYD.UN,Boyd Group Income Fund (TSX:BYD.UN),3473,8568
TSX:BAM.A,Brookfield Asset Management Inc. (TSX:BAM.A),61229.8,101700
NYSE:BBU,Brookfield Business Partners L.P. (NYSE:BBU),7560.6,26900
NYSE:BIP,Brookfield Infrastructure Partners L.P. (NYSE:BIP),16419.9,6000
NasdaqGS:BPY,Brookfield Property Partners L.P. (NasdaqGS:BPY),10333.7,19000
TSX:BEP.UN,Brookfield Renewable Partners L.P. (TSX:BEP.UN),14574.3,2325
TSX:DOO,BRP Inc. (TSX:DOO),4689,12500
TSX:CAE,CAE Inc. (TSX:CAE),9683,10000
TSX:CCO,Cameco Corporation (TSX:CCO),5723.2,1897
TSX:GOOS,Canada Goose Holdings Inc. (TSX:GOOS),6254.2,3932
TSX:CAR.UN,Canadian Apartment Properties Real Estate Investment Trust (TSX:CAR.UN),7813.5,908
TSX:CM,Canadian Imperial Bank of Commerce (TSX:CM),45870.7,44797
TSX:CNR,Canadian National Railway Company (TSX:CNR),88154.5,27215
TSX:CNQ,Canadian Natural Resources Limited (TSX:CNQ),43045.8,9973
TSX:CP,Canadian Pacific Railway Limited (TSX:CP),43590.3,13330
TSX:CTC.A,"Canadian Tire Corporation, Limited (TSX:CTC.A)",9208.8,22711
TSX:CU,Canadian Utilities Limited (TSX:CU),9934.8,4919
TSX:WEED,Canopy Growth Corporation (TSX:WEED),15415.2,3211
TSX:CPX,Capital Power Corporation (TSX:CPX),3270.5,813
TSX:CCL.B,CCL Industries Inc. (TSX:CCL.B),11772.5,21000
TSX:CVE,Cenovus Energy Inc. (TSX:CVE),15309.7,2264
TSX:GIB.A,CGI Inc. (TSX:GIB.A),27388.1,77500
TSX:CSH.UN,Chartwell Retirement Residences (TSX:CSH.UN),3290.5,14600
TSX:CHP.UN,Choice Properties Real Estate Investment Trust (TSX:CHP.UN),4269.5,238
TSX:CIX,CI Financial Corp (TSX:CIX),5118.3,1799
TSX:CCA,Cogeco Communications Inc. (TSX:CCA),5079.6,4574
TSX:CIGI,Colliers International Group Inc. (TSX:CIGI),3777.6,13927
TSX:CSU,Constellation Software Inc. (TSX:CSU),26390.4,19000
TSX:CRON,Cronos Group Inc. (TSX:CRON),6221.9,291
