Name,Ticker,TotalAssets,TotalRevenue,GeographicSegments,PrimarySector
Agnico Eagle Mines Limited (NYSE:AEM),NYSE:AEM,10715.50,2990.00,5,Materials
Air Canada (TSX:AC),TSX:AC,19197.00,18065.00,5,Industrials
Alamos Gold Inc. (TSX:AGI),TSX:AGI,4455.50,889.40,4,Materials
Algonquin Power & Utilities Corp. (TSX:AQN),TSX:AQN,12811.60,2247.90,2,Utilities
Alimentation Couche-Tard Inc. (TSX:ATD.B),TSX:ATD.B,30426.30,79562.80,3,Consumer Staples
Allied Properties Real Estate Investment Trust (TSX:AP.UN),TSX:AP.UN,6706.30,436.40,1,Real Estate
AltaGas Ltd. (TSX:ALA),TSX:ALA,23487.70,4256.70,2,Utilities
ATCO Ltd. (TSX:ACO.X),TSX:ACO.X,23344.00,4888.00,3,Utilities
Aurora Cannabis Inc. (TSX:ACB),TSX:ACB,1910.70,55.20,3,Health Care
B2Gold Corp. (TSX:BTO),TSX:BTO,3476.60,1671.60,9,Materials
Bank of Montreal (TSX:BMO),TSX:BMO,774048.00,22375.00,3,Financials
Barrick Gold Corporation (TSX:ABX),TSX:ABX,30880.90,9883.40,12,Materials
Bausch Health Companies Inc. (NYSE:BHC),NYSE:BHC,44336.60,11434.80,17,Health Care
BCE Inc. (TSX:BCE),TSX:BCE,57100.00,23468.00,1,Communication Services
BlackBerry Limited (TSX:BB),TSX:BB,5173.30,1190.30,7,Information Technology
Bombardier Inc. (TSX:BBD.B),TSX:BBD.B,34056.20,22154.70,13,Industrials
Boyd Group Income Fund (TSX:BYD.UN),TSX:BYD.UN,1233.50,1864.60,2,Industrials
Brookfield Asset Management Inc. (TSX:BAM.A),TSX:BAM.A,349705.70,79975.70,9,Financials
Brookfield Business Partners L.P. (NYSE:BBU),NYSE:BBU,37276.50,50717.20,8,Industrials
Brookfield Infrastructure Partners L.P. (NYSE:BIP),NYSE:BIP,49914.90,6347.80,11,Utilities
Brookfield Property Partners L.P. (NasdaqGS:BPY),NasdaqGS:BPY,167183.40,11170.10,9,Real Estate
Brookfield Renewable Partners L.P. (TSX:BEP.UN),TSX:BEP.UN,46534.90,4069.10,6,Utilities
BRP Inc. (TSX:DOO),TSX:DOO,3077.20,5243.80,10,Consumer Discretionary
CAE Inc. (TSX:CAE),TSX:CAE,7165.50,3304.10,15,Industrials
Cameco Corporation (TSX:CCO),TSX:CCO,8018.60,2091.70,6,Energy
Canada Goose Holdings Inc. (TSX:GOOS),TSX:GOOS,725.40,830.50,3,Consumer Discretionary
Canadian Apartment Properties Real Estate Investment Trust (TSX:CAR.UN),TSX:CAR.UN,10842.30,688.60,9,Real Estate
Canadian Imperial Bank of Commerce (TSX:CM),TSX:CM,597099.00,16964.00,4,Financials
Canadian National Railway Company (TSX:CNR),TSX:CNR,41214.00,14321.00,2,Industrials
Canadian Natural Resources Limited (TSX:CNQ),TSX:CNQ,71559.00,21027.00,,Energy
Canadian Pacific Railway Limited (TSX:CP),TSX:CP,21254.00,7316.00,2,Industrials
"Canadian Tire Corporation, Limited (TSX:CTC.A)",TSX:CTC.A,17286.80,13031.50,2,Consumer Discretionary
Canadian Utilities Limited (TSX:CU),TSX:CU,21819.00,4377.00,3,Utilities
Canopy Growth Corporation (TSX:WEED),TSX:WEED,8731.80,226.30,2,Health Care
Capital Power Corporation (TSX:CPX),TSX:CPX,7660.00,1249.00,3,Utilities
CCL Industries Inc. (TSX:CCL.B),TSX:CCL.B,7027.60,5161.50,5,Materials
Cenovus Energy Inc. (TSX:CVE),TSX:CVE,35174.00,20844.00,2,Energy
CGI Inc. (TSX:GIB.A),TSX:GIB.A,11919.10,11506.80,12,Information Technology
