Date,Ticker,TransactionType,TransactionValue
03/08/2016,TSX:AAV,Public Offering,87.54
11/29/2018,TSX:ADVZ,Shelf Registration,185.40
09/06/2018,TSX:ADVZ,Private Placement,775.11
10/06/2016,TSX:ADVZ,Public Offering,462.65
09/26/2018,TSX:ARE,Public Offering,160.00
03/07/2018,TSX:AOI,Merger/Acquisition,22.73
03/19/2019,TSX:AFN,Public Offering,75.00
10/25/2018,TSX:AFN,Public Offering,100.25
01/03/2018,TSX:AFN,Public Offering,75.00
04/25/2017,TSX:AFN,Public Offering,75.00
02/15/2017,TSX:AFN,Public Offering,60.61
04/05/2018,NYSE:AEM,Private Placement,447.84
05/05/2017,NYSE:AEM,Private Placement,411.08
03/27/2017,NYSE:AEM,Public Offering,294.14
06/30/2016,NYSE:AEM,Private Placement,454.29
09/23/2016,TSX:AC,Public Offering,200.00
05/02/2018,TSX:AKU,Public Offering,44.97
02/09/2018,TSX:AKU,Merger/Acquisition,2.35
07/31/2017,TSX:AGI,Private Placement,11.70
02/09/2017,TSX:AGI,Public Offering,328.41
02/14/2018,TSX:CLIQ,Private Placement,138.00
09/29/2016,TSX:CLIQ,Public Offering,67.50
11/23/2018,TSX:ALEF,Private Placement,10.00
03/01/2018,TSX:ALEF,Private Placement,30.21
04/23/2019,TSX:AXR,Private Placement,3.50
06/13/2018,TSX:AXR,Public Offering,9.04
05/30/2017,TSX:AXR,Private Placement,9.04
05/30/2016,TSX:AXR,Merger/Acquisition,0.28
05/17/2016,TSX:AXR,Private Placement,13.01
05/16/2019,TSX:AQN,Public Offering,470.33
12/20/2018,TSX:AQN,Public Offering,233.20
10/10/2018,TSX:AQN,Public Offering,324.78
04/24/2018,TSX:AQN,Public Offering,444.44
11/10/2017,TSX:AQN,Public Offering,500.85
02/22/2016,TSX:AQN,Public Offering,1000.00
12/07/2017,TSX:ATD.B,Public Offering,769.64
12/07/2017,TSX:ATD.B,Public Offering,384.87
10/17/2017,TSX:ATD.B,Buyback,250.00
07/26/2017,TSX:ATD.B,Public Offering,700.00
07/19/2017,TSX:ATD.B,Public Offering,1258.36
07/19/2017,TSX:ATD.B,Public Offering,1259.53
07/19/2017,TSX:ATD.B,Public Offering,629.77
03/20/2017,TSX:ATD.B,Merger/Acquisition,2016.45
05/06/2016,TSX:ATD.B,Public Offering,1104.74
02/18/2016,TSX:ATD.B,Public Offering,107.72
10/30/2018,TSX:ALYA,Private Placement,52.81
03/07/2019,TSX:AP.UN,Public Offering,200.02
09/26/2018,TSX:AP.UN,Public Offering,135.01
06/22/2018,TSX:AP.UN,Public Offering,260.02
08/17/2017,TSX:AP.UN,Public Offering,270.08
04/21/2017,TSX:AP.UN,Public Offering,200.00
08/19/2016,TSX:AP.UN,Public Offering,200.15
05/12/2016,TSX:AP.UN,Public Offering,150.00
12/18/2018,TSX:AII,Private Placement,2.00
10/25/2017,TSX:AII,Private Placement,0.70
10/19/2017,TSX:AII,Private Placement,2.70
08/17/2017,TSX:AII,Private Placement,6.35
01/25/2017,TSX:AII,Private Placement,0.65
08/17/2016,TSX:AII,Private Placement,2.45
